Date,Close,Search_Interest,Return_1d,Close_lag_1,Close_lag_3,Close_lag_5,MA_5,MA_10,Trend_lag_1,Trend_lag_3
2025-01-27,397.1499938964844,25.0,-0.023193450212053546,406.5799865722656,415.1099853515625,426.5,411.05799560546876,412.34999694824216,22.0,22.0
2025-01-28,398.0899963378906,25.0,0.0023668700890153715,397.1499938964844,412.3800048828125,424.0700073242188,405.86199340820315,411.8279968261719,25.0,22.0
2025-01-29,389.1000061035156,25.0,-0.02258280870425211,398.0899963378906,406.5799865722656,415.1099853515625,400.6599975585938,411.1019989013672,25.0,22.0
2025-01-30,400.2799987792969,25.0,0.028732954254456988,389.1000061035156,397.1499938964844,412.3800048828125,398.2399963378906,408.30799865722656,25.0,25.0
2025-01-31,404.6000061035156,25.0,0.010792463618949588,400.2799987792969,398.0899963378906,406.5799865722656,397.8440002441406,407.38599853515626,25.0,25.0
2025-02-03,383.6799926757813,24.0,-0.05170542044525328,404.6000061035156,389.1000061035156,397.1499938964844,395.15000000000003,403.1039978027344,25.0,25.0
2025-02-04,392.2099914550781,24.0,0.02223206563315605,383.6799926757813,400.2799987792969,398.0899963378906,393.9739990234375,399.9179962158203,24.0,25.0
2025-02-05,378.1700134277344,24.0,-0.035797094243459227,392.2099914550781,404.6000061035156,389.1000061035156,391.7880004882812,396.2239990234375,24.0,25.0
2025-02-06,374.3200073242188,24.0,-0.010180622383618165,378.1700134277344,383.6799926757813,400.2799987792969,386.59600219726565,392.4179992675781,24.0,24.0
2025-02-07,361.6199951171875,24.0,-0.03392822173149601,374.3200073242188,392.2099914550781,404.6000061035156,378.0,387.9220001220703,24.0,24.0
2025-02-10,350.7300109863281,26.0,-0.030114441341470455,361.6199951171875,378.1700134277344,383.6799926757813,371.4100036621094,383.2800018310547,24.0,24.0
2025-02-11,328.5,26.0,-0.06338211812502892,350.7300109863281,374.3200073242188,392.2099914550781,358.6680053710937,376.3210021972656,26.0,24.0
2025-02-12,336.510009765625,26.0,0.0243835913717656,328.5,361.6199951171875,378.1700134277344,350.33600463867185,371.06200256347654,26.0,24.0
2025-02-13,355.94000244140625,26.0,0.05773971683431944,336.510009765625,350.7300109863281,374.3200073242188,346.6600036621094,366.6280029296875,26.0,26.0
2025-02-14,355.8399963378906,26.0,-0.0002809633725618932,355.94000244140625,328.5,361.6199951171875,345.50400390625,361.752001953125,26.0,26.0
2025-02-18,354.1099853515625,19.0,-0.004861766535893763,355.8399963378906,336.510009765625,350.7300109863281,346.17999877929685,358.7950012207031,26.0,26.0
2025-02-19,360.55999755859375,19.0,0.018214714280444966,354.1099853515625,355.94000244140625,328.5,352.5919982910156,355.6300018310547,19.0,26.0
2025-02-20,354.3999938964844,19.0,-0.01708454543992588,360.55999755859375,355.8399963378906,336.510009765625,356.1699951171875,353.2529998779297,19.0,26.0
2025-02-21,337.79998779296875,19.0,-0.046839747148427646,354.3999938964844,354.1099853515625,355.94000244140625,352.5419921875,349.6009979248047,19.0,19.0
2025-02-24,330.5299987792969,37.0,-0.021521578674915554,337.79998779296875,360.55999755859375,355.8399963378906,347.47999267578126,346.49199829101565,19.0,19.0
2025-02-25,302.79998779296875,37.0,-0.0838955952220366,330.5299987792969,354.3999938964844,354.1099853515625,337.2179931640625,341.69899597167966,37.0,19.0
2025-02-26,290.79998779296875,37.0,-0.039630120487999076,302.79998779296875,337.79998779296875,360.55999755859375,323.2659912109375,337.9289947509766,37.0,19.0
2025-02-27,281.95001220703125,37.0,-0.030433204805490277,290.79998779296875,330.5299987792969,354.3999938964844,308.7759948730469,332.4729949951172,37.0,37.0
2025-02-28,292.9800109863281,37.0,0.03912040539724382,281.95001220703125,302.79998779296875,337.79998779296875,299.81199951171874,326.1769958496094,37.0,37.0
2025-03-03,284.6499938964844,47.0,-0.02843203214376444,292.9800109863281,290.79998779296875,330.5299987792969,290.63599853515626,319.05799560546876,37.0,37.0
2025-03-04,272.0400085449219,47.0,-0.04429996705409467,284.6499938964844,281.95001220703125,302.79998779296875,284.4840026855469,310.8509979248047,47.0,37.0
2025-03-05,279.1000061035156,47.0,0.025952056083059283,272.0400085449219,292.9800109863281,290.79998779296875,282.1440063476563,302.7049987792969,47.0,37.0
2025-03-06,263.45001220703125,47.0,-0.056073068986891905,279.1000061035156,284.6499938964844,281.95001220703125,278.4440063476562,293.61000061035156,47.0,47.0
2025-03-07,262.6700134277344,47.0,-0.0029607088371812473,263.45001220703125,272.0400085449219,292.9800109863281,272.3820068359375,286.0970031738281,47.0,47.0
